"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Himachal Pradesh","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Himachal Pradesh","CENTRAL SECTOR","Hydro","4483.02"
"20-07-2019","Himachal Pradesh","CENTRAL SECTOR","RES","0"
"20-07-2019","Jammu and Kashmir","STATE SECTOR","Thermal","175"
"20-07-2019","Jammu and Kashmir","STATE SECTOR","Nuclear","0"
"20-07-2019","Jammu and Kashmir","STATE SECTOR","Hydro","1110"
"20-07-2019","Jammu and Kashmir","STATE SECTOR","RES","130.03"
"20-07-2019","Jammu and Kashmir","PVT SECTOR","Thermal","0"
"20-07-2019","Jammu and Kashmir","PVT SECTOR","Nuclear","0"
"20-07-2019","Jammu and Kashmir","PVT SECTOR","Hydro","0"
"20-07-2019","Jammu and Kashmir","PVT SECTOR","RES","66.37"
"20-07-2019","Jammu and Kashmir","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Jammu and Kashmir","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Jammu and Kashmir","CENTRAL SECTOR","Hydro","2339"
"20-07-2019","Jammu and Kashmir","CENTRAL SECTOR","RES","0"
"20-07-2019","Jharkhand","STATE SECTOR","Thermal","420"
"20-07-2019","Jharkhand","STATE SECTOR","Nuclear","0"
"20-07-2019","Jharkhand","STATE SECTOR","Hydro","130"
"20-07-2019","Jharkhand","STATE SECTOR","RES","4.05"
"20-07-2019","Jharkhand","PVT SECTOR","Thermal","1830"
"20-07-2019","Jharkhand","PVT SECTOR","Nuclear","0"
"20-07-2019","Jharkhand","PVT SECTOR","Hydro","0"
"20-07-2019","Jharkhand","PVT SECTOR","RES","36.47"
"20-07-2019","Jharkhand","CENTRAL SECTOR","Thermal","2340"
"20-07-2019","Jharkhand","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Jharkhand","CENTRAL SECTOR","Hydro","80"
"20-07-2019","Jharkhand","CENTRAL SECTOR","RES","0"
"20-07-2019","Karnataka","STATE SECTOR","Thermal","5147.92"
"20-07-2019","Karnataka","STATE SECTOR","Nuclear","0"
"20-07-2019","Karnataka","STATE SECTOR","Hydro","3644.2"
"20-07-2019","Karnataka","STATE SECTOR","RES","193.885"
"20-07-2019","Karnataka","PVT SECTOR","Thermal","2085.2"
"20-07-2019","Karnataka","PVT SECTOR","Nuclear","0"
"20-07-2019","Karnataka","PVT SECTOR","Hydro","0"
"20-07-2019","Karnataka","PVT SECTOR","RES","13733.855"
"20-07-2019","Karnataka","CENTRAL SECTOR","Thermal","2400"
"20-07-2019","Karnataka","CENTRAL SECTOR","Nuclear","880"
"20-07-2019","Karnataka","CENTRAL SECTOR","Hydro","0"
